movieid,popularity,recFrequency
1,32,3.6946564885496187
2,1,2.114503816793893
2053,1,0.5954198473282443
5,1,0.5725190839694656
6,8,1.4885496183206106
2054,3,1.8244274809160306
7,1,0.6030534351145038
10,3,1.916030534351145
2059,1,0.44274809160305345
11,1,0.8167938931297709
12,1,0.25190839694656486
13,1,0.13740458015267176
81932,2,0.6870229007633588
6157,1,0.9541984732824428
16,4,1.450381679389313
17,3,0.9389312977099238
19,1,1.900763358778626
21,1,1.2442748091603053
24,1,0.5114503816793893
2076,4,1.0610687022900764
29,5,0.8396946564885497
30749,4,1.5190839694656488
32,58,3.198473282442748
2080,2,0.9007633587786259
2081,5,1.5648854961832062
34,4,2.0
39,1,1.6793893129770994
2087,1,0.8015267175572518
6188,3,1.0
2092,1,0.2595419847328244
47,111,3.4122137404580153
50,129,3.4122137404580153
4148,1,1.0534351145038168
51255,11,1.7404580152671756
2105,2,1.2442748091603053
65,1,0.3969465648854962
66,3,0.0916030534351145
2115,6,2.679389312977099
30793,3,1.969465648854962
6218,1,1.3969465648854962
2125,1,0.6564885496183206
88140,1,0.7404580152671756
2126,1,0.5038167938931297
88,1,0.45038167938931295
30810,2,1.33587786259542
2140,3,0.717557251908397
88163,1,0.6564885496183206
2150,5,0.8244274809160306
104,3,1.6335877862595418
110,49,3.557251908396947
111,25,2.0610687022900764
2160,1,0.8625954198473282
2161,1,1.213740458015267
2167,3,1.3740458015267176
49272,20,2.7557251908396947
69757,6,1.1908396946564885
2174,6,2.259541984732824
4223,1,1.0610687022900764
4226,133,3.656488549618321
49286,1,0.5954198473282443
4232,2,0.6412213740458016
4235,1,0.7862595419847328
4238,1,0.46564885496183206
4239,1,1.1450381679389312
2194,4,1.4732824427480917
150,17,2.9618320610687023
4246,4,1.6793893129770994
4247,1,0.3282442748091603
153,2,1.8854961832061068
158,1,0.9007633587786259
160,3,0.6946564885496183
165,3,2.0610687022900764
4262,10,1.6335877862595418
8360,6,2.3587786259541983
169,1,0.25190839694656486
8361,1,1.450381679389313
173,1,1.083969465648855
4270,2,1.1755725190839694
8368,10,2.3587786259541983
8370,1,0.4122137404580153
8371,1,0.8015267175572518
181,1,0.183206106870229
8376,5,1.5725190839694656
84152,3,0.7404580152671756
6333,10,2.366412213740458
196,1,0.8931297709923663
4299,1,0.8931297709923663
2253,1,0.40458015267175573
6350,3,0.7786259541984732
208,1,1.9389312977099238
4306,30,3.8702290076335877
4308,11,1.8091603053435115
69844,2,1.0458015267175573
4310,4,1.3435114503816794
215,3,0.9541984732824428
216,1,0.8778625954198472
2268,5,1.4122137404580153
6365,12,2.9236641221374042
223,8,1.9923664122137406
59615,5,1.3206106870229006
4326,1,0.5725190839694656
231,10,2.549618320610687
6377,15,3.465648854961832
6378,1,1.7557251908396945
235,3,1.2366412213740459
33004,1,1.5572519083969465
6383,1,0.6564885496183206
2288,4,1.0534351145038168
6385,1,0.7938931297709924
2289,3,0.6335877862595419
2291,32,2.786259541984733
4340,3,0.29770992366412213
246,1,0.40458015267175573
4344,1,0.9923664122137404
253,3,1.8015267175572518
2301,2,0.4580152671755725
260,82,4.061068702290076
2313,2,0.5954198473282443
39183,1,1.450381679389313
4368,2,0.31297709923664124
2321,5,1.5954198473282444
4369,1,1.1526717557251909
4370,4,1.9312977099236641
2324,22,1.8931297709923665
2329,88,2.8473282442748094
2335,3,0.8396946564885497
288,3,1.4885496183206106
2338,2,0.5267175572519084
4388,4,0.7633587786259542
293,56,2.6564885496183206
296,95,4.587786259541985
2352,1,0.4732824427480916
2353,1,1.4427480916030535
2355,1,2.099236641221374
76093,4,1.16793893129771
316,5,1.83206106870229
318,137,4.244274809160306
2366,1,0.6183206106870229
57669,1,1.16793893129771
329,2,1.0229007633587786
2378,1,0.7862595419847328
2379,1,0.4961832061068702
2381,2,0.3206106870229008
333,1,0.7022900763358779
2382,9,0.3893129770992366
2383,4,0.3053435114503817
337,1,1.3129770992366412
342,1,0.6335877862595419
344,12,2.8931297709923665
2392,1,0.1603053435114504
2394,2,0.6412213740458016
2395,8,1.4045801526717558
2396,1,1.9236641221374047
353,1,1.4122137404580153
2402,1,0.5725190839694656
2403,3,0.7404580152671756
356,74,4.641221374045801
2404,3,0.4732824427480916
357,3,1.6717557251908397
6502,3,2.114503816793893
2407,1,0.8702290076335878
2409,1,0.7022900763358779
2410,5,0.6793893129770991
362,1,0.3969465648854962
2411,7,0.6793893129770991
364,26,3.015267175572519
2412,11,0.4961832061068702
367,7,2.770992366412214
370,2,1.1450381679389312
2420,1,1.2824427480916032
2421,1,0.6870229007633588
374,2,0.5954198473282443
2422,1,0.3816793893129771
2423,5,0.6106870229007634
2424,7,1.3511450381679388
377,5,2.801526717557252
49530,8,1.5190839694656488
379,1,0.4961832061068702
2427,1,0.8549618320610687
380,5,2.480916030534351
39292,2,1.1068702290076335
6534,2,1.083969465648855
104841,2,0.8396946564885497
393,4,0.3053435114503817
6539,32,3.938931297709924
33166,17,1.8091603053435115
2450,5,0.40458015267175573
2459,2,0.46564885496183206
420,5,0.8091603053435115
2470,2,1.3511450381679388
8622,16,1.6793893129770994
8623,1,0.48854961832061067
434,5,1.3816793893129773
442,4,1.3969465648854962
6586,1,0.5343511450381679
45499,2,1.6717557251908397
8636,1,2.83206106870229
8641,2,1.3129770992366412
6595,1,0.6183206106870229
2501,1,0.8244274809160306
2502,30,2.5343511450381677
454,1,1.2671755725190839
455,1,0.7709923664122137
457,10,2.6564885496183206
51662,27,2.50381679389313
55765,1,1.1526717557251909
6615,1,0.3282442748091603
8665,14,2.580152671755725
76251,2,1.2366412213740459
4571,1,1.2213740458015268
480,20,3.9541984732824424
2529,10,1.4045801526717558
485,1,1.129770992366412
4587,2,0.21374045801526717
2542,14,1.9541984732824427
497,2,0.7022900763358779
500,9,2.854961832061069
63992,2,0.5877862595419847
98809,1,0.9389312977099238
47610,1,1.6488549618320612
508,4,1.4961832061068703
519,2,0.4122137404580153
37386,2,0.7404580152671756
2571,77,5.0
55820,27,2.099236641221374
4621,1,0.648854961832061
527,101,3.251908396946565
2581,1,0.7938931297709924
39446,2,0.648854961832061
539,3,1.7557251908396945
541,56,2.916030534351145
543,1,0.7480916030534351
4641,4,1.083969465648855
546,5,0.46564885496183206
4643,2,1.4198473282442747
551,6,2.0076335877862594
2599,3,1.0381679389312977
553,1,0.8244274809160306
66097,1,1.083969465648855
6708,1,1.099236641221374
6711,25,2.931297709923664
2617,4,2.145038167938931
68157,33,1.9923664122137406
2628,16,3.2213740458015265
