movieid,popularity,recFrequency
1,29,3.790951638065523
5,1,0.577223088923557
6,8,1.5132605304212168
2054,4,1.856474258970359
7,1,0.62402496099844
10,3,1.9266770670826832
2059,1,0.45241809672386896
11,1,0.8346333853354135
6155,1,0.8190327613104524
13,1,0.14040561622464898
81932,2,0.686427457098284
6157,2,0.967238689547582
16,6,1.4664586583463337
17,2,0.9516380655226209
19,3,1.9110764430577223
21,2,1.2324492979719188
2076,7,1.0842433697347893
29,5,0.8268330733229329
30749,4,1.544461778471139
32,59,3.237129485179407
2080,2,0.9282371294851794
2081,6,1.5990639625585024
34,7,2.067082683307332
2082,1,0.6006240249609984
26662,1,0.748829953198128
39,2,1.684867394695788
6188,1,1.0062402496099845
47,107,3.4789391575663027
50,134,3.4477379095163805
4148,2,1.0686427457098284
51255,11,1.7238689547581902
2105,1,1.2324492979719188
2109,1,0.62402496099844
65,2,0.40561622464898595
2115,5,2.7613104524180967
55363,1,0.592823712948518
70,1,1.3416536661466458
4167,2,0.26521060842433697
30793,3,1.9890795631825273
6218,1,1.4274570982839312
88140,2,0.7566302652106084
2125,1,0.6630265210608424
2132,1,0.39001560062402496
30810,1,1.3650546021840873
2140,3,0.6942277691107644
2144,2,0.8034321372854915
88163,1,0.6552262090483619
2150,5,0.8502340093603744
104,3,1.6536661466458658
110,46,3.642745709828393
111,25,2.074882995319813
2160,2,0.8970358814352575
2161,1,1.1934477379095163
2167,1,1.4118564742589703
49272,20,2.7691107644305775
69757,11,1.2246489859594383
2174,10,2.3166926677067083
4223,1,1.076443057722309
4226,139,3.6895475819032764
4232,1,0.6552262090483619
2186,1,0.6630265210608424
4235,1,0.8034321372854915
4238,2,0.47581903276131043
4239,1,1.1778471138845554
2194,7,1.5132605304212168
150,22,2.9797191887675507
4246,3,1.7004680187207488
4247,1,0.32761310452418096
153,3,1.9110764430577223
160,3,0.7020280811232449
163,1,1.1466458658346332
165,2,2.0904836193447736
4262,7,1.669266770670827
8360,9,2.3790951638065523
169,1,0.2418096723868955
8361,2,1.4586583463338534
